stock_name,industry,cap,market_cap,pe_ratio,pb_ratio,div_yield,book_value,eps,roe
Canara Bank,Banks,Large Cap,106253.61,7.25,1.3,2.05,450.9033746,80.83,17.92587380135856
Varun Beverages,Beverages,Large Cap,184715.59,89.86,26.63,0.18,53.3848861,15.82,29.6392
Dr Reddy's Laboratories,Pharmaceuticals,Large Cap,105360.15,20.15,4.13,0.63,1528.4993118,313.42,19.968
Divi's Laboratories,Life Sciences,Large Cap,98972.0,71.56,7.81,0.8,477.5365023,52.1,10.4993
Macrotech Developers,,Large Cap,103467.62,63.55,8.24,0.09,130.1741925,16.88,11.7742
ABB India,Electrical Equip.,Large Cap,95819.67,79.27,17.85,0.12,253.3407033,57.04,19.4356
Vedanta,Metals & Mining,Large Cap,99193.65,20.88,3.14,38.06,84.9635952,12.78,12.4456
TVS Motor Company,Auto Manufacturers,Large Cap,101581.13,62.12,16.07,0.23,133.034519,34.42,23.0621
IDBI Bank,Banks,Large Cap,97836.11,18.31,2.37,1.1,38.3123473,4.97,12.962746952019272
Dabur India,Personal Products,Large Cap,96469.81,53.79,10.17,0.96,53.5398095,10.12,18.5055
Hero MotoCorp,Auto Manufacturers,Large Cap,97861.69,27.07,5.54,2.04,884.0451399,180.82,18.3748
Shree Cement,Building Materials,Large Cap,94866.93,42.23,4.87,0.38,5403.2584768,622.66,9.3703
Cholamandalam Investment & Finance Company,Consumer Finance,Large Cap,96037.93,29.92,5.39,0.17,212.0634231,38.23,19.1231
Indian Overseas Bank,Banks,Large Cap,129027.87,51.32,5.37,0.0,12.703489,1.33,10.456858024447449
Bajaj Holdings & Investment,Financial Services,Large Cap,98594.59,16.7,2.02,1.39,4391.2067571,530.49,11.3466
Zydus Lifesciences,Pharmaceuticals,Large Cap,90248.12,30.35,4.82,0.67,185.0695891,29.38,17.0286
Mankind Pharma,Pharmaceuticals,Large Cap,88732.34,51.38,10.53,0.0,210.4017141,43.11,18.479
Torrent Pharmaceuticals,Pharmaceuticals,Large Cap,89371.6,59.82,13.32,0.83,198.17737,44.14,20.0239
Havells India,Electrical Equip.,Large Cap,87635.35,74.15,12.7,0.54,110.0913536,18.86,17.0701
Apollo Hospitals Enterprise,Health Care,Large Cap,94914.41,120.26,14.6,0.23,452.1200289,54.89,10.7166
Max Healthcare Institute,Health Care,Large Cap,84386.47,79.81,10.75,0.12,80.7349954,10.88,12.619
United Spirits,Beverages,Large Cap,81899.71,64.53,12.03,0.0,93.6339064,17.45,18.8544
Bosch,Auto Components,Large Cap,83541.47,35.93,7.21,1.69,3927.3191237,788.44,13.2219
Hindustan Petroleum Corporation,"Oil, Gas & Fuels",Large Cap,80233.09,4.74,1.78,0.0,317.6089028,119.23,36.944
Shriram Finance,Consumer Finance,Large Cap,92002.89,13.85,1.99,1.42,1232.7071446,176.83,14.1997
HDFC Asset Management Company,Capital Markets,Large Cap,82731.45,46.53,13.74,1.24,282.1345862,83.29,27.5482
Bharat Heavy Electricals,Electrical Equip.,Large Cap,78642.4,0.0,3.02,0.18,74.9051927,-0.34,0.2732
Vodafone Idea,Telecom Services,Large Cap,77449.39,0.0,0.0,0.0,-18.6819005,-6.16,34.0728
Jindal Steel & Power,Metals & Mining,Large Cap,78526.38,14.37,1.89,0.26,406.856515,53.58,10.4317
JSW Energy,Energy,Large Cap,79026.67,48.1,3.98,0.42,120.8786392,9.99,8.0077
Tube Investments of India,Auto Components,Large Cap,70993.53,53.74,16.05,0.1,228.7939007,68.32,23.1759
Indian Railway Catering & Tourism Corporation,Commercial Serv,Large Cap,75284.0,68.09,26.45,0.58,35.5732075,13.82,37.29
Samvardhana Motherson International,Auto Components,Large Cap,77285.09,38.66,3.43,0.57,33.2558011,2.95,6.7453
ICICI Prudential Life Insurance Company,Insurance,Large Cap,73758.12,80.91,6.68,0.12,76.640749,6.33,8.2398
Indian Hotels Company,Hotels & Leisure,Large Cap,76495.25,65.38,9.1,0.19,59.0468128,8.22,13.2833
UCO Bank,Banks,Large Cap,72405.28,42.95,3.01,0.0,20.0933618,1.41,7.039554238890144
NHPC,Energy,Large Cap,93368.6,25.12,2.39,1.99,38.8900044,3.7,9.9776
Yes Bank,Banks,Large Cap,81745.39,78.94,2.01,0.0,14.1605062,0.36,2.514391191010854
Indian Bank,Banks,Large Cap,69685.18,9.12,1.36,1.54,380.7091491,56.75,14.905337458292372
Colgate-Palmolive (India),Personal Products,Large Cap,70086.62,55.62,39.75,1.51,64.8272682,46.33,66.5372
SRF,Chemicals,Large Cap,70528.36,47.79,6.5,0.3,366.0555362,49.79,15.9736
Polycab India,Electrical Equip.,Large Cap,70096.06,42.16,9.74,0.43,479.0648405,110.71,22.3427
Berger Paints India,Chemicals,Large Cap,65596.41,58.01,13.55,0.47,41.5354061,9.7,21.3265
ICICI Lombard General Insurance Company,Insurance,Large Cap,81000.18,44.11,6.92,0.61,237.6074745,37.3,15.6963
SBI Cards & Payment Services,Consumer Finance,Large Cap,68270.64,29.15,6.17,0.35,116.3497116,24.63,20.819
Oracle Financial Services Software,Software,Large Cap,68676.59,32.11,10.57,2.83,749.7976244,246.83,28.2475
General Insurance Corporation of India,Insurance,Large Cap,74798.84,10.94,1.57,1.69,272.3091085,38.96,0.0
Marico,Food Products,Large Cap,67726.68,46.24,16.06,0.86,32.5878498,11.32,33.444
Info Edge (India),Media & Services,Large Cap,68187.37,281.83,3.46,0.36,1523.644642,18.7,1.9089
Persistent Systems,IT Services,Large Cap,68227.86,66.26,15.44,0.56,574.4114397,133.86,22.2127
CG Power & Industrial Solutions,Electrical Equip.,Large Cap,65719.01,40.59,29.5,0.35,14.5869878,10.6,39.1889
Aurobindo Pharma,Pharmaceuticals,Large Cap,60571.4,21.86,2.15,0.73,481.0880087,47.28,8.2496
Bank of India,Banks,Large Cap,65626.71,10.25,1.09,1.25,131.7687177,14.06,10.671976604969604
Lupin,Pharmaceuticals,Large Cap,73818.82,41.22,5.58,0.25,290.650032,39.32,10.0565
Godrej Properties,,Large Cap,64040.87,96.13,6.77,0.0,340.1928548,23.96,7.0054
Alkem Laboratories,Pharmaceuticals,Large Cap,65092.98,41.38,6.61,0.92,823.1918203,131.58,14.5587
NMDC,Metals & Mining,Large Cap,71624.01,11.13,2.92,2.7,83.5570931,21.95,20.4412
Solar Industries India,Chemicals,Large Cap,60601.19,75.1,21.2,0.12,315.9107386,89.18,28.2728
Oil India,"Oil, Gas & Fuels",Large Cap,62217.75,10.48,1.55,3.49,370.1993998,54.75,18.6204
Suzlon Energy,Electrical Equip.,Large Cap,62975.83,91.69,18.61,0.0,2.5121962,0.51,9.9534
Indus Towers,Telecom Services,Large Cap,59531.16,10.67,2.51,0.0,87.9387436,20.71,15.2028
Central Bank of India,Banks,Large Cap,57919.23,23.74,2.11,0.0,31.5847546,2.81,8.907844624042783
Bharat Forge,Auto Components,Large Cap,52811.72,62.09,7.53,0.62,150.6128209,18.27,9.535
Container Corporation of India,Road & Rail,Large Cap,59674.29,48.8,5.14,1.12,190.4074314,20.07,10.225
Patanjali Foods,Food Products,Large Cap,58411.49,71.02,5.72,0.37,281.8934216,22.72,8.5766
L&T Technology Services,Professional Services,Large Cap,57693.29,44.28,12.05,0.82,453.0445656,123.25,26.3813
IDFC First Bank,Banks,Large Cap,58587.39,19.37,1.91,0.0,43.4694572,4.28,9.850641194407078
Cummins India,Machinery,Large Cap,72561.26,47.4,11.93,0.96,219.3318903,55.22,23.7755
Mindtree Ltd. - (Amalgamated),IT Services,Large Cap,56635.04,29.95,9.99,0.79,343.6412444,114.63,33.358
Abbott India,Pharmaceuticals,Large Cap,62697.7,54.73,20.17,1.1,1463.0211765,539.1,34.7847
GMR Airports Infrastructure,Transport Infra,Large Cap,53997.57,0.0,0.0,0.0,-1.6599645,-1.38,55.514
Prestige Estates Projects,,Large Cap,48003.18,28.2,4.35,0.13,275.2211778,42.47,15.5358
Rail Vikas Nigam,Construction,Large Cap,52459.11,36.05,6.63,0.85,37.9285077,6.98,18.7045
Muthoot Finance,Consumer Finance,Large Cap,54473.97,13.1,2.27,1.62,598.2542529,103.59,17.3154
Procter & Gamble Hygiene & Health Care,Personal Products,Large Cap,53315.14,70.54,50.66,1.13,324.2380998,232.85,71.8147
Fertilisers & Chemicals Travancore,Chemicals,Large Cap,50597.79,135.76,35.85,0.13,21.8125963,5.76,40.4916
PI Industries,Chemicals,Large Cap,55285.32,34.71,6.93,0.27,526.10538,104.97,18.7397
Steel Authority of India,Metals & Mining,Large Cap,52643.54,16.97,0.94,1.18,135.6239252,7.51,5.747
Ashok Leyland,Machinery,Large Cap,51162.02,21.49,5.76,1.49,30.234734,8.11,24.123
Balkrishna Industries,Auto Components,Large Cap,45215.92,36.33,5.5,0.68,425.4682906,64.38,12.7355
Mphasis,IT Services,Large Cap,52861.96,33.74,6.68,1.78,418.7712374,82.95,20.2973
Tata Communications,Telecom Services,Large Cap,51612.08,53.03,35.52,1.16,50.9898246,34.15,90.9889
Jindal Stainless,Metals & Mining,Large Cap,51995.78,17.46,3.93,0.4,160.8398179,36.17,21.0164
SJVN,Electric Utilities,Large Cap,47373.68,54.55,3.31,1.47,36.455501,2.21,7.092
Phoenix Mills,,Large Cap,48791.46,47.53,5.53,0.18,494.2497565,57.46,10.4589
Linde India,Chemicals,Large Cap,49323.39,115.26,15.19,0.21,380.6703799,50.18,12.8718
Astral,Building Products,Large Cap,52844.31,92.66,18.22,0.18,107.9922198,21.23,18.9408
Paytm - One97 Communications Ltd,,Large Cap,21690.29,0.0,1.66,0.0,205.5115604,-16.31,-9.2538
Supreme Industries,Chemicals,Large Cap,50310.26,46.83,10.92,0.66,362.5457648,84.58,22.3262
Torrent Power,Electric Utilities,Large Cap,56395.57,30.45,4.76,2.22,246.5993111,38.54,18.3668
Oberoi Realty,,Large Cap,48066.4,29.69,3.74,0.3,353.1912329,44.52,15.2721
Indian Renewable Energy Development Agency,Financial Services,Large Cap,47842.21,137.98,8.27,0.0,21.5261635,1.29,11.563
Schaeffler India,Machinery,Large Cap,47864.09,51.88,10.96,0.78,279.3773642,59.03,18.8777
Adani Wilmar,Food Products,Large Cap,45059.86,533.38,5.66,0.0,61.2602826,0.65,2.303
Punjab & Sind Bank,Banks,Large Cap,45722.95,49.97,3.19,0.71,21.1352511,1.35,6.373880030017092
Aditya Birla Capital,Financial Services,Large Cap,48380.83,17.93,1.95,0.0,95.2665685,10.38,10.7648
United Breweries,Beverages,Large Cap,45829.77,135.31,11.42,0.43,151.8135401,12.81,6.2614
JSW Infrastructure,Transport Infra,Large Cap,46305.03,41.14,6.33,0.0,34.8290231,5.36,13.5691
Tata Elxsi,Software,Large Cap,46771.47,58.68,22.31,0.81,336.6220099,127.98,37.459
KPIT Technologies,Software,Large Cap,45875.22,84.69,24.66,0.24,67.8603621,19.76,26.2189
Tata Technologies,IT Services,Large Cap,44848.68,60.71,15.72,1.11,70.3314774,18.21,25.1247
Bank of Maharashtra,Banks,Large Cap,43989.49,11.95,2.42,1.99,25.6437753,5.2,20.27840959854022
Nykaa - FSN E-Commerce Ventures Ltd.,Specialty Retail,Large Cap,43138.44,1511.0,31.0,0.0,4.8736271,0.1,1.4198
ACC,Building Materials,Large Cap,51091.28,31.4,3.45,0.34,789.1284545,86.65,8.1162
Mazagon Dock Shipbuilders,Aerospace & Defense,Large Cap,42117.91,26.32,7.78,0.76,268.4471218,79.34,24.5197
Mangalore Refinery & Petrochemicals,"Oil, Gas & Fuels",Large Cap,42246.42,9.66,3.54,0.0,68.0753167,24.95,31.7232
PolicyBazaar - PB Fintech Ltd.,Insurance,Large Cap,42045.39,0.0,7.45,0.0,125.1321132,-0.06,-2.2655
Sundaram Finance,Consumer Finance,Large Cap,43082.91,26.91,4.07,0.7,951.8280828,144.13,14.249
Page Industries,Apparel & Luxury,Large Cap,40501.82,75.1,26.47,0.69,1372.1439462,483.71,33.3819
L&T Finance Holdings,Financial Services,Large Cap,43245.34,19.07,1.95,1.15,89.1595922,9.11,8.5846
Thermax,Machinery,Large Cap,40934.36,67.01,10.26,0.29,334.8535713,51.27,12.5051
New India Assurance Company,Insurance,Large Cap,47272.88,50.77,1.74,0.67,164.9288228,5.65,0.0
UNO Minda,Auto Components,Large Cap,37580.24,72.76,10.71,0.23,61.2288355,9.01,14.6552
IRB Infrastructure Developers,Construction,Large Cap,40570.0,73.82,2.98,0.3,22.508771,0.91,3.6859
Kalyan Jewellers India,Apparel & Luxury,Large Cap,39584.94,74.77,10.27,0.13,37.4051029,5.14,12.9231
APL Apollo Tubes,Metals & Mining,Large Cap,39759.56,52.06,12.12,0.35,118.2012455,27.52,23.3967
Gujarat Fluorochemicals,Chemicals,Large Cap,37980.64,57.04,6.6,0.12,523.5261721,60.62,15.9143
AU Small Finance Bank,Banks,Large Cap,38879.2,24.48,3.32,0.17,175.122911,23.75,13.564212722692929
Dalmia Bharat,Building Materials,Large Cap,39115.87,35.56,2.44,0.43,853.6769892,58.65,7.2019
GlaxoSmithKline Pharmaceuticals,Pharmaceuticals,Large Cap,38222.24,72.27,24.83,1.42,90.8790553,31.22,42.074
Dixon Technologies (India),Household Durables,Large Cap,38160.82,108.04,26.31,0.05,242.5088041,59.05,21.2814
Coforge,IT Services,Large Cap,41165.3,58.88,12.37,0.95,538.5139575,113.14,20.7165
Poonawalla Fincorp Limited,Consumer Finance,Large Cap,36034.96,23.26,4.6,0.43,101.8572177,20.15,10.9674
Global Health,Health Care,Large Cap,38500.54,110.16,14.43,0.0,99.4268862,13.02,12.0288
Federal Bank,Banks,Large Cap,40067.45,10.37,1.44,0.53,114.0306773,15.87,13.918837351787342
UPL,Chemicals,Large Cap,36862.34,0.0,1.28,2.03,384.5300787,-5.97,6.4304
AIA Engineering,Machinery,Large Cap,36420.87,31.86,5.94,0.41,649.9984864,121.21,19.8354
Sona BLW Precision Forgings,Auto Components,Large Cap,36013.39,73.72,14.8,0.46,41.4948213,8.33,19.0261
Gujarat Gas,Gas Utilities,Large Cap,37544.8,34.02,5.3,1.22,102.9247482,16.03,17.7026
NLC India,Energy,Large Cap,35165.1,13.69,2.13,1.38,118.9278179,18.53,11.5963
Jubilant FoodWorks,Restaurants,Large Cap,32715.13,148.44,15.67,0.24,31.6329048,3.34,11.2599
Petronet LNG,"Oil, Gas & Fuels",Large Cap,41640.0,11.87,2.53,3.6,109.9026608,23.38,21.1719
LIC Housing Finance,,Large Cap,35278.29,7.25,1.21,1.33,531.3060977,88.5,14.2462
Mahindra & Mahindra Financial Services,Consumer Finance,Large Cap,35770.26,18.4,1.92,2.07,150.5850864,15.73,10.6555
3M India,Industrial Conglomerates,Large Cap,34828.36,63.76,18.92,2.75,1632.9691216,484.72,29.1169
Coromandel International,Chemicals,Large Cap,32091.4,18.57,3.54,1.1,307.768562,58.71,22.3401
Delhivery,Air Freight & Logistics,Large Cap,33517.7,0.0,3.68,0.0,123.7039316,-4.61,-6.0007
Honeywell Automation India,Tech Hardware,Large Cap,33939.32,72.95,10.18,0.25,3772.5565611,526.28,13.2967
CRISIL,Capital Markets,Large Cap,33653.1,55.5,17.48,1.17,263.3027547,82.93,30.0759
Voltas,Construction,Large Cap,35540.33,127.11,6.22,0.4,172.702388,8.45,5.3701
BSE,Capital Markets,Large Cap,31188.01,40.9,10.06,0.52,229.0278225,56.33,11.5899
Biocon,Biotechnology,Large Cap,34475.23,28.72,1.82,0.52,158.1001166,10.0,3.8533
Max Financial Services,Insurance,Large Cap,33483.04,77.87,8.92,0.0,108.7300014,12.46,13.4964
Fortis Healthcare,Health Care,Large Cap,32738.76,59.24,4.3,0.23,100.8023845,7.32,7.1955
Star Health and Allied Insurance Company,Insurance,Large Cap,32280.36,40.12,4.81,0.0,114.7085276,13.75,0.0
Escorts,Machinery,Large Cap,32355.55,31.92,3.75,0.29,781.1180179,91.74,10.5491
Bandhan Bank,Banks,Large Cap,32371.4,10.85,1.56,0.75,129.0861,18.52,14.34609489385578
JK Cement,Building Materials,Large Cap,32527.23,47.41,6.67,0.36,630.8293624,88.8,9.053
Gland Pharma,Pharmaceuticals,Large Cap,32945.33,50.02,3.97,0.0,504.3480392,39.99,8.4127
Motherson Sumi Wiring India,Auto Components,Large Cap,31973.45,54.79,24.28,0.9,2.9780788,1.32,39.7709
Deepak Nitrite,Chemicals,Large Cap,31497.24,39.82,7.25,0.32,318.3387199,57.99,18.3764
Nippon Life India Asset Management,Capital Markets,Large Cap,31043.51,32.25,8.69,2.31,56.8571455,15.33,24.7616
KIOCL,Metals & Mining,Large Cap,29834.5,711.45,15.52,0.0,31.6347203,0.69,-1.6176
Bharat Dynamics,Aerospace & Defense,Large Cap,31333.76,65.73,9.29,0.55,184.0569862,26.01,12.6107
ITI,Tech Hardware,Large Cap,30032.52,0.0,14.2,0.0,22.0135882,-4.18,-18.3637
